lens,status,r390,r814,R_radius,R_mass,peak390,peak814
j1627,ok,69.5,63.5,0.9136690647482014,0.8347911598778531,0.006572418432783124,0.04373309732939447
J0737,ok,16.5,23.5,1.4242424242424243,2.028466483011938,0.0007229236763362638,0.006137017628605163
J0912,ok,20.5,59.5,2.902439024390244,8.42415229030339,0.014318931044007015,0.040051036747111926
J1630,ok,18.5,103.5,5.594594594594595,31.299488677867057,0.005730369650460013,0.04372610784177927
J0252,ok,50.5,33.5,0.6633663366336634,0.44005489657876684,0.003485168179896663,0.011118544143355523
J0903,ok,55.5,78.5,1.4144144144144144,2.0005681357032707,0.00040452531529187614,0.008619883018279633
J0956,ok,78.5,34.5,0.4394904458598726,0.19315185200210963,0.0007718812148945688,0.005389153922196134
J0959,ok,43.5,28.5,0.6551724137931034,0.42925089179548154,0.00102919085002513,0.010314256859155982
J1430,ok,49.5,20.5,0.41414141414141414,0.1715131109070503,0.0007993559005420319,0.0023308893201269914
J2341,ok,45.5,77.5,1.7032967032967032,2.9012196594614177,0.0007594351675376527,0.004724264230371235
