lens,filter,lambda_nm,Cdir,file
J0252,F390W,390,0.2840148512608109,data/J0252_multiband/F390W.fits
J0252,F606W,606,0.4254492638854033,data/J0252_multiband/F606W.fits
J0252,F814W,814,0.5831086817760778,data/J0252_multiband/F814W.fits
J0252,F160W,1600,0.49917565150221,data/J0252_multiband/F160W.fits
J0737,F390W,390,0.5168398515984963,data/J0737_multiband_alt/F390W.fits
J0737,F435W,435,0.3447288141261033,data/J0737_multiband_alt/F435W.fits
J0737,F555W,555,0.3429179012049945,data/J0737_multiband_alt/F555W.fits
J0737,F814W,814,0.2709531316687086,data/J0737_multiband_alt/F814W.fits
J0903,F390W,390,0.3165977039212663,data/J0903_multiband/F390W.fits
J0903,F814W,814,0.14907683995608564,data/J0903_multiband/F814W.fits
J0912,F390W,390,0.026822562260621224,data/J0912_multiband/F390W.fits
J0912,F435W,435,0.15023998094706975,data/J0912_multiband/F435W.fits
J0912,F555W,555,0.21624322805477894,data/J0912_multiband/F555W.fits
J0912,F814W,814,0.23658312133259185,data/J0912_multiband/F814W.fits
J0956,F390W,390,0.5373902081784312,data/J0956_multiband/F390W.fits
J0956,F814W,814,0.3015953894783481,data/J0956_multiband/F814W.fits
J0956,F160W,1600,0.10624965947094947,data/J0956_multiband/F160W.fits
J0959,F390W,390,0.27058884941306105,data/J0959_multiband/F390W.fits
J0959,F814W,814,0.06960906831067783,data/J0959_multiband/F814W.fits
J0959,F160W,1600,0.7493803795727474,data/J0959_multiband/F160W.fits
J1430,F390W,390,0.06510896319405386,data/J1430_multiband/F390W.fits
J1430,F814W,814,0.20274360530769012,data/J1430_multiband/F814W.fits
J1430,F160W,1600,0.5065334519160447,data/J1430_multiband/F160W.fits
J1627,F390W,390,0.07176346167745179,data/j1627_multiband/F390W.fits
J1627,F435W,435,0.07200118535909965,data/j1627_multiband/F435W.fits
J1627,F555W,555,0.45391003413766123,data/j1627_multiband/F555W.fits
J1627,F814W,814,0.26393214456538006,data/j1627_multiband/F814W.fits
J1630,F390W,390,0.11765027844548971,data/J1630_multiband/F390W.fits
J1630,F435W,435,0.041549318001234715,data/J1630_multiband/F435W.fits
J1630,F555W,555,0.11872619456884907,data/J1630_multiband/F555W.fits
J1630,F814W,814,0.078493734312686,data/J1630_multiband/F814W.fits
J2341,F390W,390,0.3984461592529223,data/J2341_multiband/F390W.fits
J2341,F814W,814,0.2099368345371214,data/J2341_multiband/F814W.fits
J2341,F160W,1600,0.711202148618377,data/J2341_multiband/F160W.fits
MULTIBAND,F390W,390,0.10310560280731645,data/multiband/F390W.fits
MULTIBAND,F435W,435,0.80733815140155,data/multiband/F435W.fits
MULTIBAND,F555W,555,0.7039093771674951,data/multiband/F555W.fits
MULTIBAND,F814W,814,0.729179792315894,data/multiband/F814W.fits
