lens_id,blue_file,red_file,status,r390,r814,delta_r,phi390,phi814,delta_phi_rad,delta_phi_deg,x390,y390,x814,y814,n_pix390,n_pix814
J1627,data/j1627_multiband/F390W.fits,data/j1627_multiband/F814W.fits,ok,2652.385317463025,1570.3392533164474,-1082.0460641465775,2.429903941954234,0.3591743539723729,-2.070729587981861,-118.64406590422452,3973,1085,790,1596,853359,828205
J0737,data/J0737_multiband_alt/F390W.fits,data/J0737_multiband_alt/F814W.fits,ok,1981.0131123978906,1771.81611226579,-209.19700013210058,-2.2240045140627975,2.042420601136713,-2.0167601919800764,-115.55184729045203,3110,4251,2009,1721,806493,736313
J0912,data/J0912_multiband/F390W.fits,data/J0912_multiband/F814W.fits,ok,2779.125762555165,1394.4127898572754,-1384.7129726978894,-2.6953850766910326,-0.5267961499930466,2.168588926697986,124.25099299859966,5244,4041,1299,3190,856053,829205
J1630,data/J1630_multiband/F390W.fits,data/J1630_multiband/F814W.fits,ok,1513.5771894653603,2042.3246655597363,528.747476094376,1.5757545337058858,3.078751723708447,1.5029971900025612,86.11539560716905,2517,1546,4684,2888,855555,831692
J0252,data/J0252_multiband/F390W.fits,data/J0252_multiband/F814W.fits,ok,1808.7003134032418,754.7839163574204,-1053.9163970458214,2.8011463095867497,1.6279156605211997,-1.17323064906555,-67.22116458685021,3812,1551,4075,1077,855764,833036
J0903,data/J0903_multiband/F390W.fits,data/J0903_multiband/F814W.fits,ok,2049.412325796734,3097.532845679283,1048.1205198825492,2.6456572278320762,0.05347741622338837,-2.592179811608688,-148.52096294419465,6161,1895,667,3292,840246,1300677
J0956,data/J0956_multiband/F390W.fits,data/J0956_multiband/F814W.fits,ok,1954.9166096810004,1942.4565310352996,-12.460078645700833,-2.8508084989862277,1.5413525022671242,-1.8910243059262346,-108.34771168622908,5832,5307,3906,1598,842644,1330008
J0959,data/J0959_multiband/F390W.fits,data/J0959_multiband/F814W.fits,ok,1958.664014788678,2184.70949308791,226.04547829923172,1.2146490289323544,1.4480592364202785,0.23341020748792407,13.373419784330894,3512,1634,3523,1634,843703,1338670
J1430,data/J1430_multiband/F390W.fits,data/J1430_multiband/F814W.fits,ok,2046.010531808509,1805.2210099695897,-240.78952183891943,0.4107933112226779,0.5344398517662549,0.12364654054357693,7.084424924540178,213,2877,227,2896,751310,661743
J2341,data/J2341_multiband/F390W.fits,data/J2341_multiband/F814W.fits,ok,2592.4386782185934,1779.72477990348,-812.7138983151133,1.062830980746669,1.7226307521343562,0.6597997713876873,37.80374222421106,4302,944,4049,1256,797344,1069529
