lens_id,C390,C814,DeltaC,A_ratio,A_stable
J1627,0.028,0.647,0.619,23.107142857142858,0.917037037037037
J0737,0.036,0.231,0.195,6.416666666666668,0.7303370786516854
J0912,0.0075,0.0499,0.0424,6.653333333333333,0.7386759581881533
J1630,0.072,0.894,0.8220000000000001,12.416666666666668,0.8509316770186336
J0252,0.0466,0.0951,0.0485,2.040772532188841,0.34227240649259
J0903,0.01904,0.233942,0.214902,12.286869747899159,0.8494754567518636
J0956,0.040809,0.057547,0.016738000000000003,1.4101546227547845,0.17017772174549597
J0959,0.005698,0.340043,0.334345,59.67760617760617,0.9670389106296333
J1430,0.019097,0.032403,0.013306000000000002,1.6967586531916008,0.258368932038835
J2341,0.009895,0.196799,0.18690400000000001,19.888731682668016,0.9042545985853485
