lens,status,C390,C814,DeltaC,r390,r814,DeltaR,phi390_deg,phi814_deg,DeltaPhi_deg,N390,N814,file390,file814
J0737,ok,0.12037917417010553,0.24998773955153358,0.12960856538142806,25.416583940643726,23.23626533099224,-2.1803186096514864,-59.087153609609054,-83.82304103779612,-24.735887428187056,861,861,data/J0737_multiband_alt/F390W.fits,data/J0737_multiband_alt/F814W.fits
J0912,ok,0.0569365478708813,0.328109150150402,0.27117260227952067,29.72159286898103,29.412278593628,-0.3093142753530316,-170.78145637600846,-161.17970846233587,9.601747913672575,861,861,data/J0912_multiband/F390W.fits,data/J0912_multiband/F814W.fits
J1630,ok,0.051560673300440785,0.5533705371999277,0.5018098638994869,31.02642144860764,31.73336268651622,0.7069412379085804,156.41100271501256,-8.088387881083728,-164.4993905960963,861,861,data/J1630_multiband/F390W.fits,data/J1630_multiband/F814W.fits
J0252,ok,0.053436449980269356,0.08316074465509829,0.029724294674828934,28.87490734620305,30.943803086578146,2.0688957403750976,93.71988961714207,165.73139228183632,72.01150266469426,861,861,data/J0252_multiband/F390W.fits,data/J0252_multiband/F814W.fits
J0903,ok,0.02912506735676904,0.06445212631162672,0.03532705895485769,32.23262312958906,29.843991372347716,-2.388631757241342,-24.011689551304798,-13.493859757552444,10.517829793752357,861,861,data/J0903_multiband/F390W.fits,data/J0903_multiband/F814W.fits
J0956,ok,0.04762585074076796,0.22441069143019282,0.17678484068942485,31.57171246370921,33.73164457362177,2.1599321099125603,-8.288432727320922,166.57292020204034,174.86135292936126,861,861,data/J0956_multiband/F390W.fits,data/J0956_multiband/F814W.fits
J0959,ok,0.027711239303912217,0.7828970735154026,0.7551858342114904,33.99573774624406,33.391043816584045,-0.6046939296600158,171.5180349274665,-163.95240061492882,24.529564457604693,861,861,data/J0959_multiband/F390W.fits,data/J0959_multiband/F814W.fits
J1430,ok,0.20504195207439946,0.5601834721695428,0.3551415200951433,33.12777079591019,27.671466424644862,-5.456304371265325,-122.6725979607661,-152.35027607207212,-29.67767811130602,861,861,data/J1430_multiband/F390W.fits,data/J1430_multiband/F814W.fits
J2341,ok,0.08086022796069539,0.20691090806853182,0.12605068010783643,34.72536458342865,32.55291689213903,-2.1724476912896193,-169.15692360241565,-78.59664966058688,90.56027394182877,861,861,data/J2341_multiband/F390W.fits,data/J2341_multiband/F814W.fits
