lens_id,C390,C814,A_chrom,DeltaC
J1627,0.028,0.647,23.107142857142858,0.619
J0737,0.036,0.231,6.416666666666668,0.195
J0912,0.0075,0.0499,6.653333333333333,0.0424
J1630,0.072,0.894,12.416666666666668,0.8220000000000001
J0252,0.0466,0.0951,2.040772532188841,0.0485
J0903,0.01904,0.233942,12.286869747899159,0.214902
J0956,0.040809,0.057547,1.4101546227547845,0.016738000000000003
J0959,0.005698,0.340043,59.67760617760617,0.334345
J1430,0.019097,0.032403,1.6967586531916008,0.013306000000000002
J2341,0.009895,0.196799,19.888731682668016,0.18690400000000001
