name,z,DM_obs,DM_MW,DM_halo,DM_excess,DM_IGM_cosmo,DM_residual_cosmo,z2
FRB20121102A,0.19273,557.0,188.0,50,319.0,171.07532352780768,147.92467647219232,0.037144852900000004
FRB20180916B,0.0337,348.8,200.0,50,98.80000000000001,28.861465775466925,69.93853422453309,0.00113569
FRB20180924B,0.3214,361.42,40.5,50,270.92,291.5985947394259,-20.678594739425876,0.10329796000000001
FRB20181112A,0.4755,589.27,102.0,50,437.27,439.8367780285175,-2.56677802851749,0.22610024999999997
FRB20190102C,0.291,363.6,57.3,50,256.3,262.79047295640606,-6.490472956406052,0.08468099999999999
FRB20190523A,0.66,760.8,37.0,50,673.8,619.9245867201781,53.87541327982183,0.43560000000000004
FRB20190608B,0.1178,339.5,37.2,50,252.3,102.9499904595295,149.35000954047052,0.01387684
FRB20190611B,0.378,321.4,57.8,50,213.59999999999997,345.6701780707375,-132.07017807073754,0.142884
FRB20190711A,0.522,593.1,56.4,50,486.70000000000005,485.0688039324002,1.6311960675998307,0.272484
FRB20191001A,0.234,507.9,44.2,50,413.7,209.3034272907768,204.3965727092232,0.054756000000000006
FRB20200430A,0.1608,380.1,27.0,50,303.1,141.8281855630124,161.27181443698763,0.02585664
FRB20200906A,0.3688,577.8,36.0,50,491.79999999999995,336.8465233650233,154.95347663497665,0.13601344
FRB20201124A,0.098,413.5,123.2,50,240.3,85.2621745399479,155.0378254600521,0.009604000000000001
FRB20210405I,0.066,565.17,25.0,50,490.16999999999996,56.98599582179152,433.18400417820845,0.0043560000000000005
