lens,band,lambda,Cdir,r_mean,phi_mean_rad,phi_mean_deg,Npix
J0903,F390W,390,0.019040289019801575,67.72633874682727,-0.2902252293035757,-16.62868074731143,7465
J0903,F814W,814,0.2339423900453085,68.15873635070574,-2.874948818813566,-164.72243363413855,7518
J0956,F390W,390,0.040809118711755805,67.76550877592614,3.1121194767253075,178.31131135682236,7534
J0956,F814W,814,0.05754671876818062,66.66960466824614,2.645916784197641,151.59986467735186,7371
J0959,F390W,390,0.005697957305826051,67.55972925380117,-2.1422667215258246,-122.74284173475738,7489
J0959,F814W,814,0.3400426199001452,65.57398839698617,-2.7455959255467812,-157.31105878214558,7523
J1430,F390W,390,0.019096699704922768,66.86920100433876,3.034839133100658,173.88347382780918,7424
J1430,F814W,814,0.03240331359644454,65.91842100830281,-2.7780855416857673,-159.1725766649096,7553
J2341,F390W,390,0.009895341953364943,67.1281201617354,-1.99201835909224,-114.13424468856103,7488
J2341,F814W,814,0.1967987290823663,69.16903048905745,0.2906312988730828,16.651946819832883,7402
