Name,fits,z_lens,z_source,bSIE,instrume,detector,cx,cy,r_ring_pix,A_arc,C_arc,Astd_arc,Npix_arc
J0029-0055,hst_11202_s1_wfc3_ir_f160w_02_drz.fits,0.227,0.9313,0.96,WFC3,IR,1106.349542819371,1019.2786307738253,11.0,-0.01260351468556217,0.01260351468556217,0.649867461690973,84
J0252+0039,hst_11202_s3_wfc3_ir_f160w_03_drz.fits,0.2803,0.9818,1.04,WFC3,IR,869.6120108563167,958.1719540166806,84.0,0.027926594106772836,0.027926594106772836,0.7032977153635136,3325
J0728+3835,hst_11202_75_wfc3_ir_f160w_01_drz.fits,0.2058,0.6877,1.25,WFC3,IR,1104.3581621425685,408.7521967373247,60.0,0.05628025474276097,0.05628025474276097,0.7059216081981892,1696
J0737+3216,HST_10494_a3_NIC_NIC2_F160W_02_drz.fits,0.3223,0.5812,1.0,NICMOS,,298.15650037348547,353.6738508739556,34.0,0.10289416523235194,0.10289416523235194,0.5905409364374543,545
J0822+2652,hst_11202_77_wfc3_ir_f160w_03_drz.fits,0.2414,0.5941,1.17,WFC3,IR,973.6527089860488,1138.0418487397108,225.0,0.16676814341958915,0.16676814341958915,0.6971321530567053,23859
J0912+0029,HST_10494_c2_NIC_NIC2_F160W_01_drz.fits,0.1642,0.3239,1.63,NICMOS,,293.05198580728876,350.70922906116766,12.0,-0.3534251275518627,0.3534251275518627,0.46521188937717417,90
J0936+0913,hst_11202_82_wfc3_ir_f160w_01_drz.fits,0.1897,0.588,1.09,WFC3,IR,875.7530201323143,932.4972724752972,43.0,0.10053098776642361,0.10053098776642361,0.6436369354466779,873
J1023+4230,hst_11202_87_wfc3_ir_f160w_01_drz.fits,0.1912,0.696,1.41,WFC3,IR,804.8690704812142,1204.9125563368862,103.0,0.025723119603912777,0.025723119603912777,0.7144096617446313,4997
J1153+4612,hst_11202_93_wfc3_ir_f160w_03_drz.fits,0.1797,0.8751,1.05,WFC3,IR,1336.3442058979972,1130.2012992433683,165.0,0.026378845106078807,0.026378845106078807,0.7024231795882575,12830
J1204+0358,HST_10798_34_NIC_NIC2_F160W_03_drz.fits,0.1644,0.6307,1.31,NICMOS,,315.8995423762593,314.450392766511,31.0,0.08247302571062291,0.08247302571062291,0.5777195859107008,453
J1250+0523,HST_10494_b3_NIC_NIC2_F160W_01_drz.fits,0.2318,0.7953,1.13,NICMOS,,322.36301292086597,342.27773421567923,15.0,0.04548953242354873,0.04548953242354873,0.5716465480725301,113
J1402+6321,HST_10494_a5_NIC_NIC2_F160W_03_drz.fits,0.2046,0.4814,1.35,NICMOS,,336.4970461216499,361.7763819122701,9.0,-0.28017642077391963,0.28017642077391963,0.5302746800243496,68
J1403+0006,HST_10798_33_NIC_NIC2_F160W_02_drz.fits,0.1888,0.473,0.83,NICMOS,,320.84937198940094,322.59313031820574,36.0,0.12348844080437796,0.12348844080437796,0.6382543978353565,612
J1430+4105,hst_11202_99_wfc3_ir_f160w_01_drz.fits,0.285,0.5753,1.52,WFC3,IR,1103.7362920069916,767.5081069674185,173.0,-0.030051468817455424,0.030051468817455424,0.6983612145533614,14102
J1531-0105,HST_10798_37_NIC_NIC2_F160W_01_drz.fits,0.1596,0.7439,1.71,NICMOS,,356.3775529189052,372.4223808365839,21.0,0.046195427102913224,0.046195427102913224,0.605980367025439,208
J1538+5817,HST_10798_38_NIC_NIC2_F160W_02_drz.fits,0.1428,0.5312,1.0,NICMOS,,295.7629915586091,314.70640130109,25.0,0.08799377009842137,0.08799377009842137,0.6149332834380464,295
J1636+4707,hst_11202_60_wfc3_ir_f160w_02_drz.fits,0.2282,0.6745,1.09,WFC3,IR,787.0922821080359,793.0660869143536,245.0,-0.026960966684019587,0.026960966684019587,0.7208399764396555,28291
J2238-0754,HST_10494_a0_NIC_NIC2_F160W_02_drz.fits,0.1371,0.7126,1.27,NICMOS,,307.9188344690309,334.0780742780109,18.0,0.1725615512740328,0.1725615512740328,0.572176732711614,153
J2300+0022,HST_10494_a8_NIC_NIC2_F160W_03_drz.fits,0.2285,0.4635,1.24,NICMOS,,306.25934282355655,330.618330119597,27.0,0.18613747011934917,0.18613747011934917,0.5899033176177378,345
