lens,C390,C814,ratio,A_lens
J1627,0.028,0.647,23.107142857142858,3.1401417843256967
J0737,0.036,0.231,6.416666666666668,1.8588987720656838
J0912,0.0075,0.0499,6.653333333333333,1.8951179822152082
J1630,0.072,0.894,12.416666666666668,2.519039656157459
J0252,0.0466,0.0951,2.040772532188841,0.7133284284197443
J0903,0.01904,0.233942,12.286869747899159,2.508531192023447
J0956,0.040809,0.057547,1.4101546227547845,0.34369935990590705
J0959,0.005698,0.340043,59.67760617760617,4.088956844125995
J1430,0.019097,0.032403,1.6967586531916008,0.5287197564511698
J2341,0.009895,0.196799,19.888731682668016,2.9901533242499014
